A,,,0,2,2,2,0,5,1,3,3,2,1,1,7,,,1,3,4,3
A(b5),,,0,1,2,2,,4,,,4,3,1,2,4,2,,4,3,1,
A(b5)/C#,4,,1,4,3,1,2,4,,1,4,3,1,,,,,,,,
A(b5)/Eb,4,,3,4,3,1,,,,,,,,,,,,,,,
A(b5)addb9,4,2,,,3,1,3,,,0,1,3,2,,4,,,4,3,1,3
A(b5)no3,2,4,,,1,3,,10,,3,,,1,2,5,1,2,3,,,
A/C#,4,,1,,3,2,2,,,,,,,,,,,,,,
A/E,,,,2,2,2,0,5,,3,3,2,1,1,2,,,1,1,1,4
Ab,4,1,3,3,2,1,1,8,,4,3,1,2,1,,,,,,,
Ab(b5),3,2,,,3,1,,3,,,4,3,1,2,3,2,,4,3,1,
Ab(b5)/C,3,,1,4,3,1,2,3,,1,4,3,1,,,,,,,,
Ab(b5)/Ebb,3,,3,4,3,1,,,,,,,,,,,,,,,
Ab(b5)addb9,3,2,,,3,1,3,11,,1,2,4,3,,3,,,4,3,1,3
Ab(b5)no3,,4,,,1,3,,9,,3,,,1,2,4,1,2,3,,,
Ab/C,,,3,1,1,1,,3,,1,,3,2,2,8,,,3,1,2,1
Ab/Eb,4,,3,3,2,1,1,,,,1,1,1,4,,,,,,,
Ab1,,4,,,,,,6,,,1,,,,,,,,1,,
Ab13,4,1,,1,2,3,3,,,,,,,,,,,,,,
Ab13/C,,,3,4,1,1,1,6,3,4,1,3,1,1,,,,,,,
Ab13/Gb,,2,,,1,1,1,9,,1,2,2,1,,4,,,1,2,3,1
Ab13b9,10,,2,1,2,1,4,,4,,4,2,1,1,4,1,,1,2,3,2
Ab13b9sus4,,4,,4,2,2,1,10,,2,2,2,1,4,4,1,,1,3,3,2
Ab13#11,4,1,2,1,2,3,3,,,,,,,,,,,,,,
Ab13no3,3,2,,2,1,4,,,,,,,,,,,,,,,
Ab13sus2,3,2,,2,1,4,,,,,,,,,,,,,,,
Ab13sus2/4,11,,1,1,1,1,3,4,1,1,1,3,3,,,,,,,,
Ab13sus4,11,,1,1,1,1,3,4,1,1,1,3,3,,,,,,,,
Ab5,4,1,3,3,,,,6,,,1,3,4,,,,,,,,
Ab5/Eb,6,,1,1,,,,6,,1,1,3,4,,,,,,,,
Ab6,3,2,,1,3,2,,6,,,1,3,1,3,,,,,,,
Ab6/9,,4,,3,3,4,,10,,2,1,1,2,,4,1,,,2,3,3
Ab6/9/C,8,1,,1,3,2,,,,3,3,3,4,4,,,,,,,
Ab6/9#11,10,,2,1,1,2,1,,4,3,3,3,3,,,,,,,,
Ab6/9no3,,4,,3,3,4,,3,2,,1,1,2,4,10,,2,,1,2,2
Ab6/Eb,,,,1,1,1,1,6,,1,1,3,1,3,,,,,,,
Ab6b9,,4,,3,2,1,,10,,2,1,1,1,2,5,,,2,1,2,1
Ab6#11,10,,2,1,1,,1,,4,3,3,,3,,,,,,,,
Ab6no3,,4,,3,,4,,6,,,1,3,1,,9,,3,,2,1,3
Ab6sus2,,4,,3,3,4,,10,,2,,1,2,,4,1,,,,3,3
Ab7,4,1,3,1,2,1,1,6,,,1,3,2,3,,,,,,,
Ab7/C,6,3,,1,3,2,,,,3,1,1,1,2,,,,,,,
Ab7/Eb,4,,3,1,2,1,1,6,,1,1,3,2,3,,,,1,1,1,2
Ab7/Gb,4,,,1,2,1,1,8,,2,,1,2,1,,,,4,1,1,
Ab7b13,11,,1,3,1,3,2,4,1,3,1,2,2,1,,,,,,,
Ab7b5,3,2,,2,3,1,,6,,,1,2,2,3,,,,,,,
Ab7b5/C,9,,,2,3,1,2,3,,1,2,3,1,2,,,,,,,
Ab7b5/Ebb,,,,0,1,1,2,5,,1,2,1,3,,,,,,,,
Ab7b5/Gb,3,,,2,3,1,2,,,,,,,,,,,,,,
Ab7b5b9,3,2,,2,3,1,,10,,2,1,2,1,1,,4,,,2,3,2
Ab7b5b9/Ebb,5,,1,2,1,3,,10,1,2,1,2,1,1,,,,0,1,1,2
Ab7b5b9no3,3,2,,2,,1,,10,,2,,2,1,1,,4,,,2,3,2
Ab7b5b9sus4,4,1,2,1,3,,2,10,,2,2,2,1,1,2,3,4,3,1,1,1
Ab7b5#9,10,,2,1,2,3,1,,4,3,4,4,3,,,,,,,,
Ab7b5no3,,4,,4,1,3,,,4,,4,,3,,6,,,1,2,2,
Ab7b5no3/Ebb,,,,0,1,3,2,9,,,4,3,1,2,9,2,,4,3,1,
Ab7b5no3/Gb,,,,4,1,3,,,,,,,,,,,,,,,
Ab7b5sus2,6,,,1,2,2,1,10,,2,,2,2,1,,4,,4,3,3,
Ab7b5sus4,4,1,2,1,3,4,1,9,,3,4,3,1,1,6,,,1,2,2,4
Ab7b9,5,,,2,1,3,1,,4,,4,2,1,,10,,2,1,2,1,
Ab7b9/C,,,3,1,1,1,2,,,,,,,,,,,,,,
Ab7b9b13,4,1,,1,2,2,2,10,,2,1,2,1,3,,,,,,,
Ab7b9b13no3,4,1,,1,,2,2,10,,2,,2,1,3,,,,,,,
Ab7b9#11,10,,2,1,2,1,1,6,,,1,2,2,3,,4,3,0,2,3,2
Ab7b9no3,5,,,2,,3,1,,4,,4,2,,,10,,2,,2,1,
Ab7b9no3/5,5,,,2,,3,1,,4,,4,2,,,10,,2,,2,1,
Ab7b9no5,5,,,2,1,3,1,,4,3,4,2,,,10,,2,1,2,1,
Ab7b9sus4,5,,,2,2,3,1,,4,,,2,2,2,9,,3,,3,2,1
Ab7b9sus4no5,,,,,1,2,2,9,,3,,3,2,1,,,,,,,
Ab7#11,,4,,4,1,3,,3,2,,2,3,1,,6,,,1,2,2,3
Ab7#9,5,,,2,1,3,3,4,1,,1,2,1,4,10,,2,1,2,3,
Ab7#9/C,5,,,2,1,3,3,4,1,,1,2,1,4,10,,2,1,2,3,
Ab7#9b13,5,,,2,1,3,3,4,1,,1,2,2,4,10,,2,1,2,3,3
Ab7no3,6,,,1,3,2,,11,,1,3,1,,,4,1,3,1,,,
Ab7no3/5,6,,,1,,2,,4,1,,3,,4,,11,,1,,1,,
Ab7no3/Eb,6,,1,1,3,2,,9,3,,,3,1,3,,,,,,,
Ab7no3/Gb,8,,2,,1,2,,9,,1,,3,1,3,,,,4,,4,4
Ab7no5,4,,,3,2,4,1,4,1,,1,2,,,,,,,1,1,2
Ab7no5/C,,,3,4,,,4,3,,1,2,3,,2,,,,,,,
Ab7no5/Gb,4,,,1,2,4,1,4,,,1,2,,1,,,,,,,
Ab7sus#4,,,,,1,3,2,4,,,3,4,4,1,,,,,,,
Ab7sus2,6,,,1,3,2,1,,4,,4,3,4,,,4,,,3,4,2
Ab7sus2no5,,4,,4,3,,,6,,,1,,2,1,11,,1,,1,1,
Ab7sus4,4,1,3,1,3,1,1,9,,3,3,3,1,1,6,,,1,3,2,4
Ab7sus4no5,,,,,1,2,2,9,,3,3,3,1,1,,,,,,,
Ab9,5,,,2,1,3,2,,4,,4,3,1,,8,,4,1,4,2,1
Ab9/C,6,3,,1,3,2,,,,3,1,1,1,2,,,,,,,
Ab9/Eb,4,,3,1,2,1,1,6,,1,1,3,2,3,,,,1,1,1,2
Ab9/Gb,4,,,1,2,1,1,8,,2,,1,2,1,,,,4,1,1,
Ab9b5,,4,3,4,3,3,,,,,,,,,,,,,,,
Ab9b5no3,10,,2,,2,2,1,6,,,1,2,2,1,,4,,4,3,3,
Ab9#11,10,,2,1,2,2,1,6,,,1,2,2,1,,4,,4,3,3,
Ab9no5,5,,,2,1,3,2,,4,,4,3,1,,8,,4,1,4,2,1
Ab9no5/C,6,3,,1,,2,1,,,3,4,3,,4,,,,,,,
Ab9no5/Gb,,,,4,3,1,4,,,,,,,,,,,,,,
Ab9sus4,9,,3,,3,3,1,6,,,1,1,2,1,,4,,4,3,2,2
Abaddb13,4,,,3,2,2,1,4,1,,3,2,2,,6,,,1,4,4,3
Abaddb9,11,,1,3,4,3,1,4,,,3,2,1,2,,,,,,,
Abaddb9no3,4,1,3,4,,,,,,,,,,,,,,,,,
Abaddb9no3/5,,4,,,2,,,,,,,,,,,,,,,,
Abaddb9no5,4,,,3,2,,2,,,,,,,,,,,,,,
Abadd#11,11,,1,2,3,3,1,3,,,4,3,1,2,,,,,,,
Abadd#9,4,,,3,2,1,4,,,,,,,,,,,,,,
Abadd#9/C,,,3,1,1,0,,,,3,,4,4,4,,,,,,,
Abadd#9/Eb,5,,2,2,1,,3,,,,1,4,1,4,,,,,,,
